Category,2019,2020,2021,2022,2023,2024,2025,2026
Apples,10,12,14,11,10,12,14,11
Bananas,20,25,28,17,20,25,28,17
Cherries,17,12,14,13,17,12,14,13
Dates,14,14,15,12,14,14,15,12
Elderberry,11,16,15,15,11,16,15,15
Figs,19,18,21,23,19,18,21,23
Grapes,8,9,13,12,8,9,13,12
Honeydew,22,21,24,21,22,21,24,21
Kiwi,15,17,19,20,15,17,19,20
Lemons,12,13,16,17,12,13,16,17
Mango,26,24,29,27,26,24,29,27
Nectaries,9,11,12,10,9,11,12,10
Lavender,13,16,17,10,9,11,13,12
Aloe Vera,14,14,16,15,15,11,16,17
